dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,mlp,womens,0.08,0.038682303981726146,463,0.6535108227349952,0.6821197912058745,0.4546229630281263,0.4394311797752809,0.16589156711091466,0.23188415230282303,0.03208196631245275
hillstrom,mlp,womens,0.08,0.010389837370931899,463,0.6442422728804008,0.6757498009378041,0.4041168392989369,0.3309580364212193,0.19973955646089753,0.28051131070203045,0.03208196631245275
hillstrom,mlp,womens,0.08,0.023461775531553417,463,0.6606046407909061,0.6842431212952313,0.43555680322795376,0.4735917040161701,0.19844596946962845,0.2516497056562762,0.03208196631245275
hillstrom,mlp,womens,0.08,0.045435236893790525,463,0.6683716492630161,0.7203397328142971,0.40845839343922596,0.37330873308733087,0.22957994074233168,0.2902465709052485,0.03208196631245275
hillstrom,mlp,womens,0.08,0.019124770536383427,463,0.6679369322045848,0.6998142086171812,0.4346165798869342,0.40977410565175354,0.20107038012423,0.2655703245110715,0.03208196631245275
hillstrom,mlp,womens,0.08,0.040109840859884074,463,0.6551396263420575,0.6752189684154649,0.5248233990138433,0.5704745166959578,0.10163983553269171,0.15899261912373655,0.03208196631245275
hillstrom,mlp,womens,0.08,0.010091033862965563,463,0.6654203503762165,0.7200743165531275,0.42861015251388196,0.37379407121557623,0.2016117447017543,0.27200865102291477,0.03208196631245275
hillstrom,mlp,womens,0.08,0.04402412462606706,463,0.658493731188933,0.6840661771211183,0.4843074222488811,0.4636571629707849,0.14072032995933464,0.20765228792076912,0.03208196631245275
hillstrom,mlp,womens,0.08,-0.016633238378099012,463,0.6615709547093614,0.7098115544545696,0.3254727958468398,0.21497053390799542,0.2989419358327582,0.3732543818922852,0.03208196631245275
hillstrom,mlp,womens,0.08,0.014736382685263416,463,0.6411554951389079,0.6840661771211183,0.4230228568245044,0.4153534642133991,0.18938702805951094,0.24687824856929577,0.03208196631245275
hillstrom,mlp,womens,0.08,0.0340539146665724,463,0.6501635969272861,0.6771653543307087,0.42154458473361656,0.38866930171277997,0.19586774878851582,0.2613702755988232,0.03208196631245275
hillstrom,mlp,womens,0.08,0.023236161753472984,463,0.6404343425329654,0.6714146686720339,0.464908210186787,0.47735650342285413,0.14473189467899578,0.20632037001336112,0.03208196631245275
hillstrom,mlp,womens,0.08,0.036526443687134535,463,0.6465914647557205,0.677873131027161,0.37236992916116013,0.27649850588855684,0.2447771741437011,0.30366589704541963,0.03208196631245275
hillstrom,mlp,womens,0.08,0.0030893881281239466,463,0.6535780844512886,0.6761036892860303,0.6435288400177656,0.7466314398943197,-0.02504898620098627,0.04514747506803248,0.03208196631245275
hillstrom,mlp,womens,0.08,0.014200360861338229,463,0.6429748099139947,0.6819428470317614,0.49638757341234246,0.5108781819783317,0.1037815367764702,0.18939293622683454,0.03208196631245275
hillstrom,mlp,womens,0.08,0.04464035517414245,463,0.6357426467370711,0.6537202512607272,0.3850663104846349,0.3235087719298246,0.21759600781030652,0.28375666469456584,0.03208196631245275
hillstrom,mlp,womens,0.08,0.022218357117043588,463,0.6459234336188963,0.6625674599663806,0.3850039174639899,0.3355899419729207,0.22722771012212564,0.29461132218768715,0.03208196631245275
hillstrom,mlp,womens,0.08,0.03671292232839619,463,0.6742314441262465,0.7105193311510218,0.531655561118248,0.4966584593739008,0.10942293700920465,0.1757288290067921,0.03208196631245275
hillstrom,mlp,womens,0.08,0.044305592387319605,463,0.6629717946018269,0.6934442183491109,0.42835226501163365,0.396821215314366,0.20559745089132736,0.26364160828905914,0.03208196631245275
hillstrom,mlp,womens,0.08,0.0309342816596814,463,0.6517362217144896,0.6784924356365567,0.3936095430175252,0.36429263139360857,0.2320706388413991,0.28418271855252986,0.03208196631245275
hillstrom,mlp,womens,0.08,0.02682200911701169,463,0.6659530937427688,0.7060072547111387,0.4857831498491125,0.5254863984505679,0.1484836743850712,0.21185621340224103,0.03208196631245275
hillstrom,mlp,womens,0.08,0.02923452851310972,463,0.6503864013625085,0.6857471467751924,0.49107399346124087,0.5812807881773399,0.12449367701597237,0.19413113878656257,0.03208196631245275
hillstrom,mlp,womens,0.08,0.03697532691815564,463,0.6435358337748975,0.6644253737945678,0.5258134432651884,0.5560140474100088,0.0895506573706325,0.14589412364878568,0.03208196631245275
hillstrom,mlp,womens,0.08,0.03237053927475724,463,0.6672536143140576,0.7091922498451738,0.43967799906527133,0.4058735601864064,0.19383450468492214,0.2613167258126504,0.03208196631245275
hillstrom,mlp,womens,0.08,0.0179384849516191,463,0.6536176389264952,0.6897283906927364,0.5043607406759362,0.4800105438889377,0.11129614766065093,0.1872176488404675,0.03208196631245275
hillstrom,mlp,womens,0.08,0.04622991457375979,463,0.6660144318420024,0.6973369901795984,0.49519299799667094,0.4765212803376715,0.13719849239412152,0.20444437529654097,0.03208196631245275
hillstrom,mlp,womens,0.08,0.020477439703774962,463,0.6395289845449009,0.6705299478014687,0.5748738837513458,0.645990524653448,0.0345320640895216,0.0947781374975885,0.03208196631245275
hillstrom,mlp,womens,0.08,0.02026600578019899,463,0.6602622175079573,0.6973369901795984,0.493103548292982,0.45045203194944267,0.13569130690511236,0.19862603152483813,0.03208196631245275
hillstrom,mlp,womens,0.08,0.026669555119531087,463,0.6615277696301505,0.6998142086171812,0.48843705509110413,0.46902810820336593,0.13633155112358167,0.20984987795451068,0.03208196631245275
hillstrom,mlp,womens,0.08,0.022591637675884724,463,0.6560105891342902,0.680881181987083,0.5312533450751005,0.5836555360281195,0.08927255759822417,0.16024193052015512,0.03208196631245275
hillstrom,mlp,womens,0.08,0.03865960642086739,463,0.6649199002768622,0.7027337874900469,0.4872941133187702,0.4868732987970849,0.15162620942554472,0.20362536449063945,0.03208196631245275
