dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,lgbm,womens,0.08,0.040291498387769575,463,0.6314791543949211,0.6333333333333333,0.28942705056036455,0.25984251968503935,0.31985212538336366,0.3642520822857494,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05319796314379231,463,0.6269003207016166,0.6181818181818182,0.23040420492310873,0.22524636320976069,0.37453843387704255,0.41845379767997315,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04462210015307838,463,0.6495451272989069,0.6409090909090909,0.2931372120064649,0.26795580110497236,0.33346892009008,0.3793469104948042,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.054137351657675706,463,0.6491367236075658,0.6427272727272727,0.26931339798055337,0.23500379650721337,0.3566441887247186,0.4030024625293066,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04896067334266898,463,0.6300536684337981,0.6263636363636363,0.30674341789779375,0.27264653641207814,0.30248600721720853,0.3441344938548,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05046001623521475,463,0.640863276392434,0.6263636363636363,0.4170376217336732,0.3734396671289875,0.19742815522487644,0.25022315409264523,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05850539886396743,463,0.6499240788009687,0.6533333333333333,0.38913174946004314,0.41389473684210526,0.23777782724348978,0.2838068314383612,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04276233700171226,463,0.6439321945153478,0.6281818181818182,0.3280496734015835,0.3252328878088295,0.292475762184774,0.3392892800427547,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03560336015667957,463,0.6337829700896656,0.6263636363636363,0.263074250725165,0.2498917280207882,0.35122707602659237,0.39019036270240864,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.046808899966164615,463,0.6192957654296748,0.6227272727272727,0.32245298166980957,0.3078730904817861,0.2737717124619459,0.3199138550577844,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05119252198775364,463,0.6264186137836245,0.6272727272727273,0.2707376334244032,0.2510350018818216,0.3318217122029369,0.37954024851550594,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03174381666393923,463,0.643271810982394,0.6345454545454545,0.4390569791880627,0.36983669548511044,0.17600579347550116,0.2324238701131618,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03604537946242614,463,0.6344518620328555,0.6427272727272727,0.25544223128816357,0.2716049382716049,0.3600432180649358,0.39797604342444803,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04958888498074739,463,0.6381805091956279,0.639090909090909,0.5056578579980632,0.5052982137450802,0.1022245603440812,0.1628207420510485,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04883541317501987,463,0.6394103017213167,0.6333333333333333,0.28196828041560346,0.26375805651958356,0.33535565113478794,0.37952839147663886,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03578749077278074,463,0.6398475031088422,0.639090909090909,0.3747718837853359,0.3155663234403392,0.23678613669944806,0.2933651019475646,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05389421196666915,463,0.6371261208194253,0.6187878787878788,0.31541837943287115,0.26199158485273494,0.29743060910614855,0.3459848736669598,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.046592136952180896,463,0.6371084495058578,0.6263636363636363,0.2805306180487767,0.2597864768683274,0.33208321985085154,0.38107244306331045,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03330696521403307,463,0.6382263237122847,0.6336363636363637,0.3386719115038529,0.2887181560857258,0.273311616808608,0.325797207608256,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.044820512876637686,463,0.6335192093723411,0.6321212121212121,0.28111069398872474,0.27840481565086533,0.33020534714596134,0.37461168362127145,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04816086195529608,463,0.6445389096145036,0.6403030303030303,0.30611562720707136,0.1952191235059761,0.3102042471520519,0.36664231766281247,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04074978588631053,463,0.6416931736370182,0.6427272727272727,0.3283686359315719,0.319672131147541,0.29032641209769844,0.3363226633131941,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04341849118736471,463,0.6253452451076641,0.6263636363636363,0.373442934232935,0.3768882175226586,0.2255047831046622,0.27829983864479585,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.03458214179998246,463,0.645071012500818,0.6306060606060606,0.30608756370805706,0.25293185419968306,0.3132508884689784,0.3647160091165438,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.048675055618989854,463,0.6307592119903134,0.6227272727272727,0.3428927157188434,0.3089858118759853,0.2641910814465593,0.3115419110963809,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05391286689401469,463,0.651264480659729,0.6403030303030303,0.31987570170332913,0.24587973273942093,0.30451733594509844,0.35826022196770124,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05478796989943307,463,0.6350631585836769,0.6263636363636363,0.30991321421559004,0.2872727272727273,0.30003540356526287,0.35026448517091097,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04428386225026714,463,0.6405288304208391,0.6427272727272727,0.3458360133493965,0.3262513503781059,0.26994430303992045,0.31944133110296447,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.041367602233007984,463,0.6395012762615355,0.6345454545454545,0.49408399911593703,0.5167173252279635,0.11711710054702205,0.17371745374417485,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.046034913056255525,463,0.6342332613390929,0.6345454545454545,0.4138857357990653,0.3967889908256881,0.1939144874501285,0.24678056362992665,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.037319126247075375,463,0.6413665815825644,0.6342424242424243,0.33693762854409315,0.306631299734748,0.2807524908510624,0.3281054152258798,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04730270570403083,463,0.6441900647948164,0.6463636363636364,0.2783458010054474,0.26275631855030995,0.3430845668217536,0.38860396075698433,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04648379265044392,463,0.6359637410825315,0.6263636363636363,0.3511922390690351,0.3218134522482349,0.2634940535538299,0.3060489504731632,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04943739400427684,463,0.6337731526932392,0.6403030303030303,0.32198306672313026,0.29298794104510945,0.2862104131084054,0.33736975883181236,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05139910697497482,463,0.6164395575626677,0.6106060606060606,0.2748187178491404,0.2620533182076007,0.319415618371511,0.3638260610555435,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.041992602766756044,463,0.6414536291642123,0.6357575757575757,0.3602624114014541,0.28433098591549294,0.2541563316068176,0.308226103918699,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04817699115877868,463,0.6475463053864782,0.6424242424242425,0.31921140830924655,0.2926829268292683,0.306001768566189,0.3506680255882745,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04266098222134736,463,0.6277806139145232,0.6206060606060606,0.29322610712882097,0.2805958132045089,0.3116930740107923,0.3574159395606122,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.05812337231501063,463,0.6316002356175141,0.6272727272727273,0.3412739788698678,0.3226600985221675,0.268704573515048,0.311947939980245,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.06072600925482566,463,0.6451783493684141,0.6566666666666666,0.3357139428845692,0.29733333333333334,0.28436872172391603,0.33456009124377384,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04882871835752046,463,0.6299770927416716,0.6321212121212121,0.3864741655546962,0.3373531230674088,0.21595168015290683,0.27105417422104383,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.048509668068926516,463,0.650848877544342,0.6527272727272727,0.4444104184344828,0.38663335415365396,0.17757917749631225,0.23529774072340603,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.047755419513017885,463,0.6239969893317626,0.6115151515151516,0.44303231928333453,0.45101733232856067,0.15713205000511068,0.20479729009174544,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.04241383357221127,463,0.6447241311604163,0.6315151515151515,0.30832129261289665,0.3056804250102166,0.316301820532695,0.3565038565623441,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.0478574382420898,463,0.6426664048694285,0.636969696969697,0.33596143769172626,0.2692467748647524,0.27896526481712197,0.33444466953828283,0.056185482371355754
hillstrom,lgbm,womens,0.08,0.0463817263067993,463,0.6396125400877021,0.6418181818181818,0.30683294676795253,0.2836411609498681,0.307950360349813,0.3576088262896861,0.056185482371355754
