dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,lgbm,womens,0.1,0.05045160807032457,579,0.6230067514523474,0.6263636363636363,0.3230972891595784,0.30990833697075515,0.2795682837982064,0.32025064078733134,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.05626878628714252,579,0.6279651436646255,0.6227272727272727,0.2779095027221495,0.263840830449827,0.33019358797105525,0.36991769391389673,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.047418809245464516,579,0.6448228397969331,0.6424242424242425,0.29078385518699884,0.26754832146490337,0.333983347835904,0.37409462138396454,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.054342847405835275,579,0.6491772648767468,0.6460606060606061,0.28499321262642674,0.25379253792537926,0.3427549572582759,0.385613147242364,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.0494289959197899,579,0.6329067880881352,0.6321212121212121,0.31686364350047813,0.2929752066115702,0.2958282449708606,0.3362580442044536,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.041826656272627584,579,0.6465740304600408,0.6384848484848484,0.4306695946153527,0.4234338747099768,0.19513127508158082,0.23667759660779533,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.05107394628966118,579,0.6493541633956142,0.6427272727272727,0.3599325748321073,0.33444198078344417,0.2694968607547469,0.30934631637226695,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03641655043078674,579,0.6444878840215628,0.6339393939393939,0.4276889682993051,0.4328989080662205,0.19370483493244253,0.23989299651207288,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03719338825214864,579,0.6348170827445437,0.6263636363636363,0.24974445736843956,0.23469387755102042,0.3681609082675459,0.40198434248466264,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04398246257953394,579,0.6212487570000524,0.6227272727272727,0.28154670000915655,0.24680073126142596,0.32001633899389476,0.3593877749878968,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04175230677015779,579,0.6281807714450202,0.6263636363636363,0.34427910068032813,0.35127978817299205,0.2621002521862804,0.30570308934310364,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.041900184456434696,579,0.6387543832103418,0.6263636363636363,0.41697714920903894,0.3829489867225716,0.20004784733648784,0.24350662066611783,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.02840924879661295,579,0.6378583765112263,0.6460606060606061,0.23741818437886839,0.24302575107296137,0.38255706976697174,0.418323314497744,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04973709452046515,579,0.6379934055581724,0.6393939393939394,0.48568807860628066,0.5226634576815082,0.12675363703606699,0.17785701686771646,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.05392715597322065,579,0.6358161930182655,0.6263636363636363,0.30509903929188253,0.2822265625,0.31005593147372074,0.35137837597904525,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03906137768370871,579,0.6344721829695922,0.6263636363636363,0.3680758929688869,0.3253623188405797,0.24322798677081822,0.28956459323059264,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.0472211833164091,579,0.6302951797770452,0.6172727272727273,0.27753099723703256,0.218863361547763,0.3327596207465083,0.37276874433351675,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.042466610302048215,579,0.6348955880043963,0.6227272727272727,0.28755335093592,0.26609808102345417,0.3268378878837109,0.3678465862532418,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04712503239421258,579,0.6453027686188307,0.6345454545454545,0.36304599932798076,0.3417865253595761,0.25883804648526587,0.3056754920964343,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.051850898288223625,579,0.6285942324802428,0.6227272727272727,0.36915277233943744,0.37390158172231985,0.23594829440165638,0.2829346258799545,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.053578163028494934,579,0.6452389176741508,0.6427272727272727,0.33640523076201695,0.2948137835015663,0.2861207404987091,0.3315466333255587,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04209886942411276,579,0.6406610142879574,0.6409090909090909,0.3863713010783557,0.3722431414739107,0.231335302635253,0.2772441237839503,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03467517789468729,579,0.6242890040299367,0.6227272727272727,0.33027778345161385,0.3219448094612352,0.2716456787103452,0.3163767624463003,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.0434333583804648,579,0.6443758831841734,0.6357575757575757,0.31548975179057454,0.29364127174565086,0.3071652872899473,0.3506069754972504,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04124034184029885,579,0.6296765583294082,0.6172727272727273,0.3342173259526004,0.3093777388255916,0.2753618236340371,0.3155566411195782,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03378607439179601,579,0.6513890197309886,0.6424242424242425,0.36885863374122657,0.2751450676982592,0.2583941779036164,0.3066665940759077,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.049258061036618006,579,0.6382728842832469,0.6263636363636363,0.48157900245983154,0.46636363636363637,0.1303503719747445,0.18303739167208652,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04273936257277808,579,0.6415455068822944,0.6427272727272727,0.28958798985947465,0.24784924211388776,0.32983574243427716,0.37407929161136244,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03380239539106434,579,0.642439420107814,0.639090909090909,0.44568435781983323,0.41873862947240753,0.17564251230000325,0.2178676122759581,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.042228551402207486,579,0.6314806092008165,0.6306060606060606,0.339103435710489,0.3121185701830863,0.27184110477535056,0.3129132422053043,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.03976723983186809,579,0.6443418642382374,0.6345454545454545,0.3665527505236468,0.3343465045592705,0.25663631283796223,0.2989419145912188,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.041899781730888486,579,0.6411467001622443,0.6430303030303031,0.32847825522355106,0.32471804511278196,0.2930178136407904,0.33231907623659573,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04636145614308525,579,0.6414298424661119,0.6272727272727273,0.34358869275879905,0.29983857949959647,0.27841843053982235,0.31726386887480346,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04950502738370947,579,0.6346202962265138,0.6403030303030303,0.3708573721999909,0.2710516805204192,0.23711030806453504,0.2904155399885109,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.05021310657351919,579,0.620877165436751,0.6106060606060606,0.3580448392796449,0.3370055082623936,0.24028070979271993,0.2853839425214922,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04231147713236683,579,0.6381556497618673,0.6318181818181818,0.31258431909277545,0.2636792452830189,0.3046136776838685,0.3465289836543154,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04799966280376634,579,0.6464803475166169,0.6415151515151515,0.28211380764148797,0.24207903168387326,0.34371289003730754,0.3850201897129506,0.056185482371355754
hillstrom,lgbm,womens,0.1,0.04453538116648241,579,0.6225503742084053,0.616969696969697,0.2870022259082284,0.2988836874324811,0.3150745537870825,0.35602174281327126,0.056185482371355754
