dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,mlp,womens,0.05,-0.0002072069814723639,289,0.6533982006185698,0.6904361673891887,0.3762878307909742,0.3283450704225352,0.23109563942800201,0.3231251002271893,0.03208196631245275
hillstrom,mlp,womens,0.05,0.0033296957013758607,289,0.6402143289882007,0.6628328762275502,0.34769885243747534,0.2813818565400844,0.24915308800007968,0.33587786510137113,0.03208196631245275
hillstrom,mlp,womens,0.05,0.004966183255135265,289,0.6689852067935541,0.6857471467751924,0.48003241623320214,0.44791483371458735,0.14510200401308437,0.23280357710762,0.03208196631245275
hillstrom,mlp,womens,0.05,0.022340108113602923,289,0.6694030766857071,0.7074228081040431,0.41138037404432176,0.4063520070577856,0.2232601949929482,0.29278521028982224,0.03208196631245275
hillstrom,mlp,womens,0.05,0.023185769469636505,289,0.6807752603880465,0.7202512607272405,0.4889593498503169,0.5179950842696629,0.14776787479865403,0.23586394627680532,0.03208196631245275
hillstrom,mlp,womens,0.05,0.002292276155273413,289,0.6517120267240807,0.6731841104131646,0.49870443672265813,0.5084805343176027,0.11262112454394543,0.1933940554588994,0.03208196631245275
hillstrom,mlp,womens,0.05,0.0384938826260977,289,0.6568382035329444,0.6935326904361674,0.41751009417575885,0.3490009682246281,0.19657085341191238,0.28208536530245903,0.03208196631245275
hillstrom,mlp,womens,0.05,0.004110294177878436,289,0.6535494297223966,0.6681412014509422,0.48758301984248514,0.47538529282254516,0.12187305395517034,0.2100597658046527,0.03208196631245275
hillstrom,mlp,womens,0.05,0.009084435062359052,289,0.6768567734872728,0.7200743165531275,0.38070375299441045,0.31314285714285717,0.25500163735911613,0.33730440362660846,0.03208196631245275
hillstrom,mlp,womens,0.05,0.006434343444683231,289,0.635147847878216,0.6732725825002212,0.38329276758984604,0.2992334126354745,0.20698416070388542,0.29672599987285425,0.03208196631245275
hillstrom,mlp,womens,0.05,8.922114891076251e-05,289,0.6471050494295693,0.684508537556401,0.4513647238511075,0.41764550030910536,0.15204855520557012,0.2394320959513536,0.03208196631245275
hillstrom,mlp,womens,0.05,0.02517644145735066,289,0.6393623642190716,0.6637175970981155,0.3706293940990661,0.3499691385239397,0.22964567403426664,0.30782026620574443,0.03208196631245275
hillstrom,mlp,womens,0.05,-0.0016532821260630075,289,0.6345086447025271,0.6611519065734761,0.34536232759193825,0.2648510488277807,0.24343265756530585,0.33485997665587197,0.03208196631245275
hillstrom,mlp,womens,0.05,0.02316517727057345,289,0.6677637409549536,0.7143236308944528,0.5321354659386386,0.6235677771901992,0.09418128043128529,0.17707526960134498,0.03208196631245275
hillstrom,mlp,womens,0.05,0.027977550324898168,289,0.65590082799465,0.6933557462620543,0.3544622642085157,0.33024691358024694,0.25843939925210324,0.3444377283201655,0.03208196631245275
hillstrom,mlp,womens,0.05,0.007632329138742047,289,0.6379859956951749,0.6515084490843139,0.41961438351969865,0.41067183235009247,0.17390340350558867,0.2628398208453635,0.03208196631245275
hillstrom,mlp,womens,0.05,0.0314737093695327,289,0.6376783332471062,0.6515969211713705,0.49077937811280115,0.5138179897905298,0.1060949184876259,0.18770299178098418,0.03208196631245275
hillstrom,mlp,womens,0.05,-0.001602318907192654,289,0.6786164190111514,0.7109616915863045,0.6036841159225816,0.6583457853564209,0.02989037450987922,0.11997423166726048,0.03208196631245275
