dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,uplift_rf,newbie,0.06,0.06494337935706705,382,0.5734590985899887,0.571957671957672,0.4569559708143032,0.39228723404255317,0.10446708614787528,0.12853916940349555,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0658740024780885,382,0.5562896479126846,0.5587301587301587,0.3713969999586563,0.3237616654702082,0.17182393333169182,0.19796136257636454,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06687845940897666,382,0.5802210587550902,0.6126984126984127,0.443461799912665,0.5356835769561479,0.1243246283669588,0.14919388931789163,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.07277266992154738,382,0.5727194659131832,0.5862433862433862,0.4206438318719906,0.44176706827309237,0.13920664107716701,0.16494462700521823,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06482185787373111,382,0.5709271724978531,0.580952380952381,0.36035420279119884,0.33536977491961417,0.1976521061134546,0.22349383329985403,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0701894478163365,382,0.5899498601069283,0.6867724867724868,0.4732307505123438,0.5533769063180828,0.10395856156777006,0.12947965762139874,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06371725809424726,382,0.5634948336519018,0.5698412698412698,0.48989295186269255,0.48293963254593175,0.06040415034812758,0.08679961323029076,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.061127174571055716,382,0.5662040499736835,0.5582010582010581,0.49534589305639004,0.5565573770491803,0.05832758455708743,0.08338872927749952,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0726476697485315,382,0.5834012022493698,0.6005291005291005,0.4117219313554392,0.41122004357298475,0.15813152379672443,0.18522701799113675,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.07233558465938104,382,0.5567522646056677,0.5513227513227513,0.4037952665972074,0.3205661948376353,0.13955223089269914,0.16636176512422152,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06186011327142355,382,0.5781462090362613,0.6105820105820106,0.46746253251030484,0.47341115434500647,0.09725178831272235,0.1241155647391908,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06802940338408324,382,0.5498656472478463,0.5148148148148148,0.42221340328372975,0.3467029231815092,0.11294095163685203,0.14236353629138082,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06745557756086641,382,0.6002133023075431,0.7132275132275132,0.47055703014481765,0.5278551532033426,0.1174372014940901,0.14187534283136094,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06272104336468509,382,0.5788636804343611,0.5941798941798941,0.4175614517703434,0.3959322033898305,0.14788961386593444,0.1747148434621009,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06485559422652896,382,0.5626305437823763,0.5767195767195767,0.38949264025920755,0.32270916334661354,0.15918697388892114,0.18708883315741634,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06509507763994063,382,0.5845203468240117,0.646031746031746,0.5094947228455081,0.5206349206349207,0.06271252064237302,0.08733872731463409,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.05893154772959735,382,0.5787501038809939,0.6084656084656085,0.4576722292562556,0.5185185185185185,0.1080177839073374,0.1341379653421394,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0665847741249072,382,0.5801628853984875,0.6047619047619048,0.4520265897994,0.47378277153558057,0.11383112508411634,0.14244146611405875,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0733912103459275,382,0.5794814260782848,0.5825396825396826,0.47258182291189343,0.48475437605872385,0.09372760262181291,0.12007160371096955,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06373264335491509,382,0.5723011717776115,0.6423280423280423,0.5053248628001391,0.5238095238095238,0.05473576860256492,0.07921684935237995,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06598177980065648,382,0.5732568769217984,0.5925925925925926,0.4470705968758188,0.3900738310090238,0.11429217877407213,0.13808038131788716,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06644141898708997,382,0.5972547716003214,0.6126984126984127,0.4269412101794691,0.4228855721393035,0.1588600482195594,0.18176707462214503,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06510199895493489,382,0.5796143937505195,0.6010582010582011,0.43699714723766214,0.4415231187669991,0.13093800990607032,0.15429648311964414,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06594591252755752,382,0.578963406188537,0.6978835978835979,0.507096420385569,0.6141450313339302,0.06025477018056794,0.08347920142536812,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.06647750996978216,382,0.576312363223358,0.5862433862433862,0.3434267356947166,0.18528864059590316,0.22000218278448302,0.24576907227279965,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.07191432473508329,382,0.5567190226876091,0.5502645502645502,0.4213578101397628,0.3165266106442577,0.12188383764191374,0.14883858745377898,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.07124925312041247,382,0.5884678245934791,0.7015873015873015,0.38404130724267205,0.48416751787538304,0.19037468142501374,0.21847835327660026,0.06136241235788844
hillstrom,uplift_rf,newbie,0.06,0.0669146256410767,382,0.5796393251890634,0.5941798941798941,0.48543091426805945,0.5103668261562998,0.08229213339265194,0.10612468844935592,0.06136241235788844
