dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,uplift_rf,history,0.06,0.0708740542943073,153,0.514645364318567,0.4962962962962963,0.44622532361724426,0.41056533827618164,0.04135848302885706,0.09548159837378833,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0701933664587039,153,0.5179652107756683,0.5037037037037037,0.5519934408915941,0.5570517363571935,-0.06579495628118855,-0.002261503950662977,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.07029938538019578,153,0.5448213853442612,0.5280423280423281,0.6018187696702559,0.6155291170945523,-0.09543615546134324,-0.01855861319064625,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06516171525353215,153,0.5179237126949545,0.4973544973544973,0.42226150337708823,0.37145242070116863,0.06433164006458485,0.12699277857114782,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.07590554803958377,153,0.5176678078638863,0.491005291005291,0.41134614765446403,0.3275862068965517,0.07829549536420602,0.1343478250546384,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.07032645773256822,153,0.5680879759311133,0.5597883597883598,0.5012493011335243,0.4579863739591219,0.04280283279439105,0.09087451680078669,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06207804543949116,153,0.534529861327247,0.4984126984126984,0.4500313194009453,0.38915779283639884,0.054836202501625436,0.1141608813509779,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06894702038515649,153,0.5776740325759934,0.5904761904761905,0.5069884364002012,0.5138461538461538,0.03539657784048435,0.10597461451110017,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06810400673312189,153,0.5529342601238026,0.544973544973545,0.6107601065117406,0.7027777777777777,-0.09200675236529715,-0.023644940410578644,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06648614603893224,153,0.519977867690286,0.4857142857142857,0.338959851919217,0.21784961349262122,0.15062782021529053,0.2114082113268475,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.060798846427164044,153,0.5464328941453125,0.508994708994709,0.46794054084857734,0.4118041582830315,0.044879847489818374,0.11210485910365192,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06352038230979422,153,0.580094753950963,0.5756613756613757,0.5099324975891997,0.46147540983606555,0.03721361366580406,0.10311089905772289,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06304694286987376,153,0.5296192551094512,0.5037037037037037,0.4278124657684303,0.3191340782122905,0.06801951444891713,0.1355940642331247,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06661061777462934,153,0.5683646298025383,0.5523809523809524,0.4235392773461586,0.42339622641509433,0.1139348426486951,0.1757158622640643,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0703314521238176,153,0.5399591935539647,0.5375661375661376,0.4404538658105425,0.3473603672532517,0.07536846190664936,0.12364219358019515,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0703393023316314,153,0.5133727565100114,0.4783068783068783,0.41710278417416785,0.37544483985765126,0.06741952394976389,0.12512042072192314,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06894681159135593,153,0.5273437770169797,0.5015873015873016,0.41742027871108656,0.3307757885763001,0.08423045466394331,0.13561654194784278,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0647415887662024,153,0.5213473043538404,0.5015873015873016,0.45935711519428546,0.4352596927578639,0.034655430954326216,0.08932494736478344,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0661536591311329,153,0.5476155894456548,0.4973544973544973,0.4505027288291101,0.3458755426917511,0.06879421740645379,0.12543150382663576,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06580770935705316,153,0.5294809281737386,0.5015873015873016,0.4377846814194487,0.38978185993111364,0.06453200818442956,0.1188604853241502,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06510685663625199,153,0.5325656188401287,0.4973544973544973,0.5237479086389208,0.49238578680203043,-0.020956722758394955,0.03859214316081049,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06771277786027799,153,0.5175156482346025,0.4962962962962963,0.3986423398188104,0.3075933075933076,0.08746969201556437,0.15027692481601976,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06134197867614832,153,0.5319846457101358,0.5227513227513227,0.44809559372666175,0.43315907393577296,0.055334782838135296,0.11244332112881315,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.0598856676526819,153,0.5232769651070305,0.4973544973544973,0.42479427787149393,0.40333024976873266,0.06977653242014473,0.12718884205092829,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.05967499234021671,153,0.5709305944600064,0.5925925925925926,0.48177486133895786,0.350597609561753,0.054382055584731505,0.12392941065736518,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06175157154576013,153,0.5470622817028046,0.508994708994709,0.5119589923511492,0.46464646464646464,0.005851649862495745,0.06435492884081499,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.07094936768892875,153,0.5431476294221392,0.5280423280423281,0.42385291328840824,0.3335919317300233,0.09432679896153597,0.1442626333059261,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.07008784175158969,153,0.5059376837154614,0.4708994708994709,0.38965103120164435,0.3498233215547703,0.0832325823779441,0.14934072264969012,0.06136241235788844
hillstrom,uplift_rf,history,0.06,0.06737661445900965,153,0.5832071100044957,0.5735449735449736,0.505399754164909,0.5572519083969466,0.04602302195930536,0.10959168971986774,0.06136241235788844
