dataset,model,target_feature,frac,qini_coeff,num_participants,avg_normalised_rank,median_normalised_rank,avg_modified_normalised_rank,median_modified_normalised_rank,ci_low,ci_high,baseline_qini_coeff
hillstrom,mlp,womens,0.06,-0.0160507897483803,347,0.6560444920261662,0.6933557462620543,0.4604857140248746,0.4538014783526927,0.15857301360885928,0.23254454239372424,0.03208196631245275
hillstrom,mlp,womens,0.06,0.0004075619234787682,347,0.6455165686292257,0.6757498009378041,0.4735717619840078,0.4581866197183099,0.13064322043696022,0.21324639285347566,0.03208196631245275
hillstrom,mlp,womens,0.06,0.04514948658905409,347,0.6723187667144042,0.6990179598336724,0.4975300645442056,0.46330114135206324,0.1399678129661994,0.2096095913741979,0.03208196631245275
hillstrom,mlp,womens,0.06,0.04799135817602177,347,0.6723623653509652,0.7214013978589755,0.4017645598982998,0.40588752196836553,0.2415258427008948,0.2996697682044361,0.03208196631245275
hillstrom,mlp,womens,0.06,0.023632509169264525,347,0.6817546844950245,0.7200743165531275,0.4978979160098974,0.4813577207175519,0.1478702216496385,0.2198433153206157,0.03208196631245275
hillstrom,mlp,womens,0.06,0.03083425426139783,347,0.6555480794800594,0.6789347960718394,0.45441423160515443,0.4560140474100088,0.1658812693749675,0.23638642637484258,0.03208196631245275
hillstrom,mlp,womens,0.06,0.052007203576727314,347,0.6639197825881323,0.7015836503583119,0.4772051248879402,0.46806641482913114,0.15212435007007552,0.22130496533030874,0.03208196631245275
hillstrom,mlp,womens,0.06,0.015027131353630872,347,0.6609632341111653,0.68070423781297,0.5166344386882082,0.4723618090452261,0.10921403963497993,0.17944355121093425,0.03208196631245275
hillstrom,mlp,womens,0.06,0.02171060098082761,347,0.6735900111699197,0.7200743165531275,0.37080962369032955,0.3119402985074627,0.26937395760213,0.33618681735705036,0.03208196631245275
hillstrom,mlp,womens,0.06,0.023406007199442767,347,0.641117695666729,0.6904361673891887,0.4332123570162801,0.40293652189203444,0.17163246708236782,0.2441782102185299,0.03208196631245275
hillstrom,mlp,womens,0.06,0.051737535584293226,347,0.6458921288143389,0.6799964611165178,0.39071949364229014,0.3691009754811495,0.22218030376462158,0.28816496657947593,0.03208196631245275
hillstrom,mlp,womens,0.06,0.006299336754441385,347,0.6379898121969607,0.6685835618862249,0.5089554893717873,0.5733028088403628,0.08822801895759799,0.16984062669274888,0.03208196631245275
hillstrom,mlp,womens,0.06,0.04018304657487983,347,0.6386947843027571,0.6607095461381934,0.4013984877971388,0.4058301870225656,0.20524598918509443,0.2693466038261422,0.03208196631245275
hillstrom,mlp,womens,0.06,0.017097680824643163,347,0.6532664175000338,0.6761036892860303,0.47257762773503453,0.452914798206278,0.14306962620239946,0.21830795332759909,0.03208196631245275
hillstrom,mlp,womens,0.06,0.04465488177695992,347,0.6568519591722989,0.6958329646996373,0.357254947571616,0.28928163193528533,0.2596894677778002,0.33950455542356583,0.03208196631245275
